globaltag = DES19_62_V8::All
HcalTopologyIdealEP::HcalTopologyIdealEP
======================== Opening output file
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 18-Feb-2014 20:02:57.056 CET
RPCGeometryESModule :: produce
RPCGeometryESModule :: produce :: 1/4 Get Muon Ideal Geometry Record
%MSG-e Specific:  RPCTiming:timing 18-Feb-2014 20:02:59 CET Run: 1 Event: 1
Could not process q-name of a DDLogicalPart, reason:
No regex-match for namespace=  name=HFFibre.*

SpecPar selection is:
//HFFibre.*

%MSG
RPCGeometryESModule :: produce :: 2/4 Get Muon DDD Constants
RPCGeometryESModule :: produce :: 3/4 Get Muon Numbering Record
in MuonNumberingInitialization::initializeMuonDDDConstants
about to make my new muonDDDConst_
in MuonNumberingInitialization::produce
RPCGeometryESModule :: produce :: 4/4 Build
RPCDetId: 637635117 W-2_RB2out_S05_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567661 W-2_RB2in_S06_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633197 W-2_RB2in_S06_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569709 W-2_RB2out_S06_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602477 W-2_RB2out_S06_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635245 W-2_RB2out_S06_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567789 W-2_RB2in_S07_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633325 W-2_RB2in_S07_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569837 W-2_RB2out_S07_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602605 W-2_RB2out_S07_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635373 W-2_RB2out_S07_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567917 W-2_RB2in_S08_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633453 W-2_RB2in_S08_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569965 W-2_RB2out_S08_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602733 W-2_RB2out_S08_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635501 W-2_RB2out_S08_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637568045 W-2_RB2in_S09_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633581 W-2_RB2in_S09_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637570093 W-2_RB2out_S09_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602861 W-2_RB2out_S09_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635629 W-2_RB2out_S09_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637568173 W-2_RB2in_S10_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633709 W-2_RB2in_S10_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637570221 W-2_RB2out_S10_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602989 W-2_RB2out_S10_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635757 W-2_RB2out_S10_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637568301 W-2_RB2in_S11_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633837 W-2_RB2in_S11_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637570349 W-2_RB2out_S11_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637603117 W-2_RB2out_S11_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637635885 W-2_RB2out_S11_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637568429 W-2_RB2in_S12_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633965 W-2_RB2in_S12_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637570477 W-2_RB2out_S12_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637603245 W-2_RB2out_S12_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637636013 W-2_RB2out_S12_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567053 W-2_RB3-_S01_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571149 W-2_RB3+_S01_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637632589 W-2_RB3-_S01_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637636685 W-2_RB3+_S01_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567181 W-2_RB3-_S02_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571277 W-2_RB3+_S02_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637632717 W-2_RB3-_S02_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637636813 W-2_RB3+_S02_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567309 W-2_RB3-_S03_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571405 W-2_RB3+_S03_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637632845 W-2_RB3-_S03_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637636941 W-2_RB3+_S03_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567437 W-2_RB3-_S04_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571533 W-2_RB3+_S04_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637632973 W-2_RB3-_S04_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637069 W-2_RB3+_S04_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567565 W-2_RB3-_S05_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571661 W-2_RB3+_S05_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637633101 W-2_RB3-_S05_Forward R: 604.804 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637637197 W-2_RB3+_S05_Forward R: 609.351 cm | striplength: 125.2 cm | stripwidth: 3.52381 cm
RPCDetId: 637567693 W-2_RB3-_S06_Backward R: 604.804 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
RPCDetId: 637571789 W-2_RB3+_S06_Backward R: 609.351 cm | striplength: 116.9 cm | stripwidth: 3.52381 cm
